dateTime,timerName,progNo,iActual2,pha2
2019-08-02 12:22:26.090,ub01l2-timer,101,8.51,44.49
2019-08-02 12:23:11.800,ub01l2-timer,101,8.48,44.90
2019-08-02 12:24:22.020,ub01l2-timer,101,8.49,45.09
2019-08-02 12:26:41.670,ub01l2-timer,101,8.55,43.53
2019-08-02 12:27:52.620,ub01l2-timer,101,8.49,45.24
2019-08-02 12:28:42.840,ub01l2-timer,101,8.66,44.25
2019-08-02 12:29:37.170,ub01l2-timer,101,8.57,44.71
2019-08-02 12:30:42.550,ub01l2-timer,101,8.47,45.82
2019-08-02 12:31:32.730,ub01l2-timer,101,8.44,44.69
2019-08-02 12:32:31.590,ub01l2-timer,101,8.50,45.20
2019-08-02 12:33:27.970,ub01l2-timer,101,8.48,45.65
2019-08-02 12:34:20.730,ub01l2-timer,101,8.48,44.81
2019-08-02 12:35:24.920,ub01l2-timer,101,8.51,45.18
2019-08-02 12:37:14.400,ub01l2-timer,101,8.51,45.26
2019-08-02 12:38:55.360,ub01l2-timer,101,8.46,42.61
2019-08-02 12:41:07.640,ub01l2-timer,101,8.49,44.65
2019-08-02 12:45:20.770,ub01l2-timer,101,8.58,43.33
2019-08-02 12:47:14.110,ub01l2-timer,101,8.56,43.96
2019-08-02 12:47:59.440,ub01l2-timer,101,8.56,45.35
2019-08-02 12:48:51.860,ub01l2-timer,101,8.55,43.34
2019-08-02 12:51:01.280,ub01l2-timer,101,8.57,42.66
2019-08-02 12:58:52.260,ub01l2-timer,101,8.53,45.04
2019-08-02 13:00:19.170,ub01l2-timer,101,8.53,45.26
2019-08-02 13:08:43.210,ub01l2-timer,101,8.47,45.92
2019-08-02 13:09:27.880,ub01l2-timer,101,8.49,45.17
2019-08-02 13:10:13.510,ub01l2-timer,101,8.46,45.12
2019-08-02 13:11:00.020,ub01l2-timer,101,8.42,43.07
2019-08-02 13:13:21.070,ub01l2-timer,101,8.44,44.98
2019-08-02 13:14:05.930,ub01l2-timer,101,8.47,42.78
2019-08-02 13:15:04.570,ub01l2-timer,101,8.48,43.61
2019-08-02 13:16:13.250,ub01l2-timer,101,8.48,43.65
2019-08-02 13:21:31.120,ub01l2-timer,101,8.53,42.88
2019-08-02 13:26:44.470,ub01l2-timer,101,8.48,42.53
2019-08-02 13:29:13.460,ub01l2-timer,101,8.51,42.81
2019-08-02 13:34:37.930,ub01l2-timer,101,8.54,42.89
2019-08-02 13:35:54.510,ub01l2-timer,101,8.58,43.41
2019-08-02 13:37:11.380,ub01l2-timer,101,8.40,43.98
2019-08-02 13:38:00.210,ub01l2-timer,101,8.45,45.03
2019-08-02 13:39:10.920,ub01l2-timer,101,8.57,46.05
2019-08-02 13:44:03.640,ub01l2-timer,101,8.50,45.73
2019-08-02 13:44:49.240,ub01l2-timer,101,8.49,45.61
2019-08-02 13:45:35.240,ub01l2-timer,101,8.60,43.47
2019-08-02 13:58:33.650,ub01l2-timer,101,8.50,45.21
2019-08-02 14:01:13.680,ub01l2-timer,101,8.56,43.59
2019-08-02 14:01:58.020,ub01l2-timer,101,8.49,45.72
2019-08-02 14:05:24.900,ub01l2-timer,101,8.55,43.85
2019-08-02 14:08:33.580,ub01l2-timer,101,8.54,43.41
2019-08-02 14:09:44.250,ub01l2-timer,101,8.64,43.21
2019-08-02 14:11:57.070,ub01l2-timer,101,8.58,43.39
2019-08-02 14:16:23.390,ub01l2-timer,101,8.64,43.01
2019-08-02 14:34:18.470,ub01l2-timer,101,8.55,43.76
2019-08-02 14:36:18.150,ub01l2-timer,101,8.46,44.51
